gl-lock: display acquired by 'bob' — timeout -k 5 900 env DISPLAY=:0 TRACK=watglen JM_SMOKE=1 JM_SMOKE_FRAMES=420 JM_OFFTRACK_PROBE=2386:30:190:40:35 JM_OFFTRACK_FRAMES=420 JM_OFFTRACK_EXIT=1 JM_NO_AUTOEXIT=1 julia --project=/home/admin/sgl-julia-racer/THU/rFactor/juliaMotor/demo/native /home/admin/sgl-julia-racer/THU/rFactor/juliaMotor/demo/native/drive_native_mtk.jl
  JM_OFFTRACK_PROBE: car placed at s=2386 lat=30.0 m, heading 40.0 deg off the line, 190.0 km/h (x=2.0 z=-255.7 ground=23.97)
  [offtrack] t=0.674 v=8.1 x=-13.36 z=-254.01 y=23.866 heave=0.015 ontrack=false wrecked=true bndpk=79535.0 bndF=(0.0,0.0) wfx=-8354.0 cF=(0.0,0.0) off=9.6 nl=7.67
  [offtrack] t=0.691 v=7.5 x=-13.39 z=-253.99 y=23.865 heave=0.012 ontrack=false wrecked=true bndpk=73924.0 bndF=(0.0,0.0) wfx=-7724.0 cF=(0.0,0.0) off=9.6 nl=7.7
  [offtrack] t=0.708 v=7.0 x=-13.42 z=-253.96 y=23.865 heave=0.01 ontrack=false wrecked=true bndpk=69079.0 bndF=(0.0,0.0) wfx=-7156.0 cF=(0.0,0.0) off=9.6 nl=7.73
  [WRECK] car came to rest
  [offtrack] t=0.726 v=0.2 x=-13.42 z=-253.96 y=23.864 heave=0.009 ontrack=false wrecked=true bndpk=64514.0 bndF=(0.0,0.0) wfx=242.0 cF=(0.0,0.0) off=9.6 nl=7.73
  [offtrack] t=0.743 v=0.1 x=-13.42 z=-253.96 y=23.864 heave=0.007 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=-60.0 cF=(0.0,0.0) off=9.6 nl=7.73
  [offtrack] t=0.793 v=0.2 x=-13.41 z=-253.96 y=23.864 heave=0.004 ontrack=false wrecked=true bndpk=3242.0 bndF=(0.0,0.0) wfx=189.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=0.796 v=0.1 x=-13.42 z=-253.96 y=23.864 heave=0.004 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=-96.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=0.802 v=0.0 x=-13.42 z=-253.96 y=23.864 heave=0.004 ontrack=false wrecked=true bndpk=29430.0 bndF=(0.0,0.0) wfx=5.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=0.815 v=0.0 x=-13.42 z=-253.96 y=23.864 heave=0.004 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=1.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=0.832 v=0.1 x=-13.42 z=-253.96 y=23.864 heave=0.003 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=80.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=0.85 v=0.0 x=-13.42 z=-253.96 y=23.864 heave=0.002 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=-1.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=0.867 v=0.1 x=-13.42 z=-253.96 y=23.864 heave=0.002 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=-121.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=0.885 v=0.0 x=-13.42 z=-253.96 y=23.865 heave=0.002 ontrack=false wrecked=true bndpk=9616.0 bndF=(0.0,0.0) wfx=23.0 cF=(0.0,0.0) off=9.7 nl=7.73
  [offtrack] t=0.902 v=0.0 x=-13.42 z=-253.96 y=23.865 heave=0.002 ontrack=false wrecked=true bndpk=0.0 bndF=(0.0,0.0) wfx=-1.0 cF=(0.0,0.0) off=9.7 nl=7.73
